year,mechanic,count
1960,Dice Rolling,
1960,Hand Management,1
1960,Set Collection,3
1960,Card Drafting,1
1960,Tile Placement,1
1960,Area Majority/Influence,
1960,Cooperative,2
1960,Variable Player Powers,
1961,Dice Rolling,2
1961,Hand Management,
1961,Set Collection,3
1961,Card Drafting,
1961,Tile Placement,
1961,Area Majority/Influence,
1961,Cooperative,
1961,Variable Player Powers,1
1962,Dice Rolling,6
1962,Hand Management,2
1962,Set Collection,
1962,Card Drafting,
1962,Tile Placement,
1962,Area Majority/Influence,
1962,Cooperative,
1962,Variable Player Powers,
1963,Dice Rolling,1
1963,Hand Management,3
1963,Set Collection,1
1963,Card Drafting,
1963,Tile Placement,3
1963,Area Majority/Influence,
1963,Cooperative,
1963,Variable Player Powers,
1964,Dice Rolling,3
1964,Hand Management,2
1964,Set Collection,4
1964,Card Drafting,2
1964,Tile Placement,2
1964,Area Majority/Influence,
1964,Cooperative,1
1964,Variable Player Powers,
1965,Dice Rolling,4
1965,Hand Management,1
1965,Set Collection,3
1965,Card Drafting,
1965,Tile Placement,3
1965,Area Majority/Influence,
1965,Cooperative,
1965,Variable Player Powers,
1966,Dice Rolling,4
1966,Hand Management,1
1966,Set Collection,2
1966,Card Drafting,
1966,Tile Placement,1
1966,Area Majority/Influence,
1966,Cooperative,
1966,Variable Player Powers,
1967,Dice Rolling,4
1967,Hand Management,3
1967,Set Collection,2
1967,Card Drafting,
1967,Tile Placement,2
1967,Area Majority/Influence,
1967,Cooperative,1
1967,Variable Player Powers,
1968,Dice Rolling,2
1968,Hand Management,
1968,Set Collection,3
1968,Card Drafting,2
1968,Tile Placement,2
1968,Area Majority/Influence,1
1968,Cooperative,
1968,Variable Player Powers,1
1969,Dice Rolling,3
1969,Hand Management,1
1969,Set Collection,5
1969,Card Drafting,
1969,Tile Placement,5
1969,Area Majority/Influence,
1969,Cooperative,
1969,Variable Player Powers,2
1970,Dice Rolling,4
1970,Hand Management,1
1970,Set Collection,
1970,Card Drafting,
1970,Tile Placement,1
1970,Area Majority/Influence,
1970,Cooperative,
1970,Variable Player Powers,
1971,Dice Rolling,11
1971,Hand Management,3
1971,Set Collection,1
1971,Card Drafting,1
1971,Tile Placement,1
1971,Area Majority/Influence,1
1971,Cooperative,
1971,Variable Player Powers,2
1972,Dice Rolling,19
1972,Hand Management,
1972,Set Collection,5
1972,Card Drafting,1
1972,Tile Placement,2
1972,Area Majority/Influence,
1972,Cooperative,
1972,Variable Player Powers,2
1973,Dice Rolling,16
1973,Hand Management,1
1973,Set Collection,5
1973,Card Drafting,2
1973,Tile Placement,2
1973,Area Majority/Influence,2
1973,Cooperative,1
1973,Variable Player Powers,
1974,Dice Rolling,21
1974,Hand Management,1
1974,Set Collection,3
1974,Card Drafting,
1974,Tile Placement,9
1974,Area Majority/Influence,2
1974,Cooperative,
1974,Variable Player Powers,
1975,Dice Rolling,30
1975,Hand Management,5
1975,Set Collection,7
1975,Card Drafting,3
1975,Tile Placement,6
1975,Area Majority/Influence,1
1975,Cooperative,1
1975,Variable Player Powers,5
1976,Dice Rolling,20
1976,Hand Management,
1976,Set Collection,3
1976,Card Drafting,1
1976,Tile Placement,1
1976,Area Majority/Influence,
1976,Cooperative,
1976,Variable Player Powers,7
1977,Dice Rolling,23
1977,Hand Management,2
1977,Set Collection,10
1977,Card Drafting,
1977,Tile Placement,6
1977,Area Majority/Influence,2
1977,Cooperative,2
1977,Variable Player Powers,11
1978,Dice Rolling,24
1978,Hand Management,7
1978,Set Collection,
1978,Card Drafting,
1978,Tile Placement,8
1978,Area Majority/Influence,2
1978,Cooperative,2
1978,Variable Player Powers,5
1979,Dice Rolling,33
1979,Hand Management,4
1979,Set Collection,4
1979,Card Drafting,
1979,Tile Placement,6
1979,Area Majority/Influence,2
1979,Cooperative,4
1979,Variable Player Powers,8
1980,Dice Rolling,31
1980,Hand Management,5
1980,Set Collection,12
1980,Card Drafting,2
1980,Tile Placement,12
1980,Area Majority/Influence,3
1980,Cooperative,7
1980,Variable Player Powers,11
1981,Dice Rolling,36
1981,Hand Management,3
1981,Set Collection,6
1981,Card Drafting,
1981,Tile Placement,5
1981,Area Majority/Influence,1
