year,ave_minage
1960,7.380952381
1961,8.727272727
1962,10
1963,8.5
1964,8.37037037
1965,7.3125
1966,6.277777778
1967,7.379310345
1968,6.846153846
1969,7.972972973
1970,6.525
1971,9.463414634
1972,8.907894737
1973,8.906976744
1974,9.226666667
1975,9.06870229
1976,9.411764706
1977,9.3671875
1978,9.439655172
1979,10.01935484
1980,9.524475524
1981,10.11864407
1982,8.948387097
1983,9.276315789
1984,10.22627737
1985,9.912280702
1986,9.756906077
1987,9.978021978
1988,8.648484848
1989,9.351190476
1990,9.807017544
1991,9.19138756
1992,9.908
1993,9.344036697
1994,9.445454545
1995,9.232209738
1996,9.388278388
1997,9.260869565
1998,9.501567398
1999,9.434173669
2000,9.492424242
2001,9.437054632
2002,9.215827338
2003,9.431761787
2004,9.424430642
2005,9.510242086
2006,9.22244489
2007,8.229126214
2008,7.169340463
2009,8.885057471
2010,9.314925373
2011,9.106082037
2012,9.506988564
2013,9.818404908
2014,9.640807651
2015,9.953703704
2016,10.18297872
2017,10.28303495
2018,10.21071753
2019,10.7771011
